VMs,TimeWindow,Model,Score,BestParams
146-179_surfsnel_dsl_internl_net_root,20,DNN,0.01732059,35
146-179_surfsnel_dsl_internl_net_tsinghua_xyz,10,LinearRegression,0.003123581,None
146-179_surfsnel_dsl_internl_net_uka_p2pns,1,GradientBoosting,0.000191431,"{'min_samples_split': 5, 'warm_start': False, 'loss': 'huber', 'max_leaf_nodes': 2, 'min_samples_leaf': 1, 'learning_rate': 0.01, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': None, 'max_features': 'auto', 'n_estimators': 50}"
146-179_surfsnel_dsl_internl_net_uw_oneswarm,15,SVR,0.011183453,"{'coef0': 0, 'degree': 10, 'kernel': 'sigmoid', 'shrinking': True, 'C': 1, 'epsilon': 0}"
147-179_surfsnel_dsl_internl_net_arizona_owl,15,RandomForest,0.025973472,"{'bootstrap': True, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': None, 'n_estimators': 200}"
147-179_surfsnel_dsl_internl_net_irisaple_HEAP,10,AdaBooster,0.000754126,"{'learning_rate': 0.3, 'loss': 'linear', 'n_estimators': 100}"
147-179_surfsnel_dsl_internl_net_root,15,DNN,0.016263521,35
147-179_surfsnel_dsl_internl_net_tsinghua_xyz,15,SVR,0.006079012,"{'coef0': 0, 'degree': 11, 'kernel': 'sigmoid', 'shrinking': False, 'C': 1, 'epsilon': 0}"
147-179_surfsnel_dsl_internl_net_uw_oneswarm,3,GradientBoosting,0.001118436,"{'min_samples_split': 8, 'warm_start': False, 'loss': 'huber', 'max_leaf_nodes': 2, 'min_samples_leaf': 10, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 10}"
75-130-96-12_static_oxfr_ma_charter_com_root,10,AdaBooster,0.00223449,"{'learning_rate': 1, 'loss': 'linear', 'n_estimators': 10}"
75-130-96-12_static_oxfr_ma_charter_com_tsinghua_xyz,20,GradientBoosting,0.001599129,"{'min_samples_split': 3, 'warm_start': False, 'loss': 'lad', 'max_leaf_nodes': 4, 'min_samples_leaf': 7, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}"
75-130-96-13_static_oxfr_ma_charter_com_uka_p2pns,5,LinearRegression,0.000598922,None
aladdin_planetlab_extranet_uni-passau_de_tsinghua_xyz,15,SVR,0.000482168,"{'coef0': 0, 'degree': 6, 'kernel': 'linear', 'shrinking': True, 'C': 1, 'epsilon': 0}"
aladdin_planetlab_extranet_uni-passau_de_uw_oneswarm,20,SVR,0.005911742,"{'coef0': 0, 'degree': 14, 'kernel': 'sigmoid', 'shrinking': True, 'C': 1, 'epsilon': 0}"
chimay_infonet_fundp_ac_be_google_highground,20,DNN,0.018027126,61
chimay_infonet_fundp_ac_be_irisaple_HEAP,20,SVR,0.000576735,"{'coef0': 0, 'degree': 7, 'kernel': 'rbf', 'shrinking': True, 'C': 1, 'epsilon': 0}"
chimay_infonet_fundp_ac_be_irisaple_wup,20,SVR,0.000568815,"{'coef0': 0, 'degree': 17, 'kernel': 'sigmoid', 'shrinking': True, 'C': 1, 'epsilon': 0}"
chimay_infonet_fundp_ac_be_root,4,LinearRegression,0.013858603,None
chimay_infonet_fundp_ac_be_tsinghua_xyz,20,DecisionTree,0.001223881,"{'max_leaf_nodes': 3, 'min_samples_leaf': 6, 'min_impurity_decrease': 3, 'presort': True, 'min_samples_split': 10, 'max_depth': 3, 'max_features': 'auto', 'min_weight_fraction_leaf': 0}"
chimay_infonet_fundp_ac_be_uw_oneswarm,10,SVR,0.002785316,"{'coef0': 0, 'degree': 15, 'kernel': 'linear', 'shrinking': False, 'C': 1, 'epsilon': 0}"
cs-planetlab3_cs_surrey_sfu_ca_tsinghua_xyz,4,GradientBoosting,0.001879274,"{'min_samples_split': 9, 'warm_start': False, 'loss': 'ls', 'max_leaf_nodes': 3, 'min_samples_leaf': 9, 'learning_rate': 0.01, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 200}"
cs-planetlab3_cs_surrey_sfu_ca_uw_oneswarm,10,RandomForest,0.002697968,"{'bootstrap': True, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_depth': 2, 'n_estimators': 20}"
cs-planetlab4_cs_surrey_sfu_ca_root,20,RandomForest,0.026003063,"{'bootstrap': True, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_depth': None, 'n_estimators': 20}"
cs-planetlab4_cs_surrey_sfu_ca_uw_oneswarm,15,SVR,0.002874263,"{'coef0': 0, 'degree': 7, 'kernel': 'sigmoid', 'shrinking': False, 'C': 1, 'epsilon': 0}"
csplanetlab2_kaist_ac_kr_princeton_codeen,5,RandomForest,0.003185478,"{'bootstrap': True, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_depth': 5, 'n_estimators': 10}"
csplanetlab2_kaist_ac_kr_tsinghua_xyz,15,LinearRegression,0.00099109,None
csplanetlab2_kaist_ac_kr_utokyo_sora,20,LinearRegression,0.000107982,None
csplanetlab2_kaist_ac_kr_uw_seattle,5,GradientBoosting,0.000389185,"{'min_samples_split': 2, 'warm_start': True, 'loss': 'ls', 'max_leaf_nodes': 2, 'min_samples_leaf': 1, 'learning_rate': 0.1, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': None, 'max_features': 'auto', 'n_estimators': 10}"
ds-pl3_technion_ac_il_neclabs_neclc,20,DNN,0.009943431,9
ds-pl3_technion_ac_il_root,20,DNN,0.003817855,67
ds-pl3_technion_ac_il_tsinghua_xyz,10,GradientBoosting,0.004218515,"{'min_samples_split': 10, 'warm_start': True, 'loss': 'huber', 'max_leaf_nodes': 9, 'min_samples_leaf': 6, 'learning_rate': 0.01, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100}"
ds-pl3_technion_ac_il_uw_oneswarm,15,DNN,0.015861791,70
dschinni_planetlab_extranet_uni-passau_de_uw_oneswarm,15,SVR,0.00485888,"{'coef0': 0, 'degree': 6, 'kernel': 'sigmoid', 'shrinking': False, 'C': 1, 'epsilon': 0}"
earth_cs_brown_edu_nyu_d,20,AdaBooster,0.000477622,"{'learning_rate': 0.05, 'loss': 'square', 'n_estimators': 10}"
earth_cs_brown_edu_root,20,AdaBooster,0.01585967,"{'learning_rate': 0.05, 'loss': 'linear', 'n_estimators': 10}"
earth_cs_brown_edu_tsinghua_xyz,1,KNN,0.001996464,"{'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 46, 'n_neighbors': 3, 'weights': 'uniform'}"
earth_cs_brown_edu_uka_p2pns,20,AdaBooster,0.000428001,"{'learning_rate': 0.05, 'loss': 'square', 'n_estimators': 10}"
earth_cs_brown_edu_uw_oneswarm,15,DNN,0.009859688,87
